produto,preco_brl,categoria
Cadeira Ergonômica Executiva,1299.90,Móveis
Mesa Ajustável em Altura,2450.00,Móveis
Luminária de Mesa LED,189.90,Iluminação
Monitor Ultrawide Curvo Premium,3299.00,Eletrônicos
Teclado Mecânico Sem Fio,549.90,Periféricos
Mouse Vertical Ergonômico,279.90,Periféricos
Suporte para Notebook Articulado,149.90,Acessórios
Tapete Ergonômico Antifadiga,329.90,Ergonomia
Apoio para Pés Ajustável,119.90,Ergonomia
Organizador de Cabos Magnético,89.90,Acessórios
Webcam Full HD Professional,679.90,Eletrônicos
Microfone Condensador USB,899.90,Áudio
Fone de Ouvido Noise Cancelling,1199.90,Áudio
Suporte para Monitor Duplo,399.90,Acessórios
Almofada Lombar Ortopédica,159.90,Ergonomia
Quadro Branco Magnético Grande,449.90,Escritório
Estante Modular para Livros,899.90,Móveis
Garrafa Térmica Inteligente,229.90,Utilidades
Carregador Wireless Múltiplo,249.90,Eletrônicos
Ventilador de Mesa Silencioso,179.90,Climatização
